,breweryID,abv,ibu,beerID,beer_name,style,ounces,brewery_name,city,state
1767,376,0.076,78.0,1577,12th Round,American Strong Ale,16.0,RoughTail Brewing Company,Midwest City,OK
1229,377,0.052000000000000005,29.0,1571,Slow Hand Stout,American Stout,16.0,Lucette Brewing Company,Menominee,WI
329,378,0.055,,1568,Killer Whale Cream Ale,Cream Ale,12.0,Bold City Brewery,Jacksonville,FL
330,378,0.06,,1188,Duke's Cold Nose Brown Ale,American Brown Ale,12.0,Bold City Brewery,Jacksonville,FL
328,378,0.065,,1569,Mad Manatee IPA,American IPA,12.0,Bold City Brewery,Jacksonville,FL
988,379,0.06,34.0,984,Leaning Chimney Smoked Porter,American Porter,16.0,Grey Sail Brewing of Rhode Island,Westerly,RI
987,379,0.055,,1185,Bring Back the Beach Blonde Ale,American Blonde Ale,16.0,Grey Sail Brewing of Rhode Island,Westerly,RI
986,379,0.04,20.0,1186,Hazy Day Belgian-Style Wit,Witbier,16.0,Grey Sail Brewing of Rhode Island,Westerly,RI
985,379,0.06,54.0,1505,Flying Jenny Extra Pale Ale,American Pale Ale (APA),12.0,Grey Sail Brewing of Rhode Island,Westerly,RI
984,379,0.058,,1567,Autumn Winds,Märzen / Oktoberfest,16.0,Grey Sail Brewing of Rhode Island,Westerly,RI
990,379,0.049,22.0,631,Flagship Ale,Cream Ale,12.0,Grey Sail Brewing of Rhode Island,Westerly,RI
989,379,0.06,54.0,693,Flying Jenny Extra Pale Ale (2012),American Pale Ale (APA),12.0,Grey Sail Brewing of Rhode Island,Westerly,RI
296,380,0.08,,1320,Last Call Imperial Amber Ale,American Amber / Red Ale,12.0,Blue Blood Brewing Company,Lincoln,NE
295,380,0.055,,1321,Brewerhood Brown Ale,American Brown Ale,12.0,Blue Blood Brewing Company,Lincoln,NE
300,380,0.05,,1012,467 Ethan's Stout,American Stout,12.0,Blue Blood Brewing Company,Lincoln,NE
294,380,,,1541,Double Play Pilsner,American Pilsner,12.0,Blue Blood Brewing Company,Lincoln,NE
293,380,0.05,,1564,1800 Big Log Wheat (2012),American Pale Wheat Ale,12.0,Blue Blood Brewing Company,Lincoln,NE
297,380,0.096,,1319,Pernicious Double IPA,American Double / Imperial IPA,12.0,Blue Blood Brewing Company,Lincoln,NE
298,380,0.052000000000000005,,1303,6-4-3 Double Play Pilsner,German Pilsener,12.0,Blue Blood Brewing Company,Lincoln,NE
299,380,,,1025,N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,12.0,Blue Blood Brewing Company,Lincoln,NE
305,380,0.056,37.0,612,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12.0,Blue Blood Brewing Company,Lincoln,NE
306,380,0.046,35.0,611,834 Happy As Ale,American Pale Ale (APA),12.0,Blue Blood Brewing Company,Lincoln,NE
304,380,0.056,37.0,886,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12.0,Blue Blood Brewing Company,Lincoln,NE
301,380,0.064,,942,1335 Wicked Snout,Saison / Farmhouse Ale,12.0,Blue Blood Brewing Company,Lincoln,NE
302,380,0.045,,937,543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),12.0,Blue Blood Brewing Company,Lincoln,NE
303,380,0.056,37.0,888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12.0,Blue Blood Brewing Company,Lincoln,NE
2090,381,0.045,,1554,Bermuda Triangle Ginger Beer,Herbed / Spiced Beer,12.0,Swashbuckler Brewing Company,Manheim,PA
312,382,0.053,22.0,1545,Blue Mountain Classic Lager,Euro Pale Lager,12.0,Blue Mountain Brewery,Afton,VA
310,382,0.059,60.0,1547,Full Nelson Pale Ale,American Pale Ale (APA),12.0,Blue Mountain Brewery,Afton,VA
311,382,0.065,30.0,1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),12.0,Blue Mountain Brewery,Afton,VA
313,382,0.059,60.0,119,Full Nelson Pale Ale (2010),American Pale Ale (APA),12.0,Blue Mountain Brewery,Afton,VA
1986,383,0.042,20.0,1544,Starr Pils,German Pilsener,12.0,Starr Hill Brewery,Crozet,VA
1987,383,0.065,52.0,1205,Northern Lights India Pale Ale,American IPA,16.0,Starr Hill Brewery,Crozet,VA
1989,383,0.065,52.0,368,Northern Lights India Pale Ale,American IPA,12.0,Starr Hill Brewery,Crozet,VA
1988,383,0.048,12.0,369,Festie,Märzen / Oktoberfest,12.0,Starr Hill Brewery,Crozet,VA
2339,384,0.04,5.0,1312,Westbrook Gose,Gose,12.0,Westbrook Brewing Company,Mt. Pleasant,SC
2341,384,0.068,65.0,575,Westbrook IPA,American IPA,12.0,Westbrook Brewing Company,Mt. Pleasant,SC
2340,384,0.05,16.0,576,White Thai,Witbier,12.0,Westbrook Brewing Company,Mt. Pleasant,SC
2338,384,0.055,,1542,One Claw,American Pale Ale (APA),12.0,Westbrook Brewing Company,Mt. Pleasant,SC
1843,385,0.051,,727,Shipyard Export,American Blonde Ale,12.0,Shipyard Brewing Company,Portland,ME
1842,385,0.047,,814,Pumpkinhead Ale,Pumpkin Ale,12.0,Shipyard Brewing Company,Portland,ME
1841,385,0.051,,975,Shipyard Summer Ale,American Pale Wheat Ale,12.0,Shipyard Brewing Company,Portland,ME
1840,385,0.069,65.0,1539,Monkey Fist IPA,American IPA,12.0,Shipyard Brewing Company,Portland,ME
1712,386,0.064,,1538,Stout Ol' Friend,American Stout,16.0,Revolution Brewing,Paonia,CO
1713,386,0.064,,1075,Stout Ol' Friend (2012),American Stout,16.0,Revolution Brewing,Paonia,CO
1719,386,,,219,Miner's Gold,American Blonde Ale,12.0,Revolution Brewing,Paonia,CO
1718,386,0.062,,220,Colorado Red Ale,American Amber / Red Ale,12.0,Revolution Brewing,Paonia,CO
1717,386,0.056,,706,Jessie's Garage,American Pale Ale (APA),16.0,Revolution Brewing,Paonia,CO
1716,386,0.046,,708,Vienna Lager,Vienna Lager,16.0,Revolution Brewing,Paonia,CO
1714,386,,,710,Rye Porter,American Porter,16.0,Revolution Brewing,Paonia,CO
1715,386,0.05,,709,Miner's Gold,American Blonde Ale,16.0,Revolution Brewing,Paonia,CO
1435,387,0.053,,654,Undun Blonde Ale (2012),American Blonde Ale,16.0,Natian Brewery,Portland,OR
1434,387,0.07400000000000001,,746,CuDa Cascadian Dark Ale (2012),American Black Ale,16.0,Natian Brewery,Portland,OR
1433,387,0.085,86.0,747,Old Grogham Imperial India Pale Ale (2012),American Double / Imperial IPA,16.0,Natian Brewery,Portland,OR
1431,387,0.07400000000000001,,1536,CuDa Cascadian Dark Ale,American Black Ale,16.0,Natian Brewery,Portland,OR
1430,387,0.053,,1537,Undun Blonde Ale,American Blonde Ale,16.0,Natian Brewery,Portland,OR
1432,387,0.085,86.0,1265,Old Grogham Imperial India Pale Ale,American Double / Imperial IPA,16.0,Natian Brewery,Portland,OR
92,388,0.065,,1149,Kentucky IPA,American IPA,16.0,Alltech's Lexington Brewing Company,Lexington,KY
91,388,0.043,,1535,Kentucky Kölsch,Kölsch,16.0,Alltech's Lexington Brewing Company,Lexington,KY
1597,389,0.087,85.0,1533,G'KNIGHT,American Double / Imperial IPA,12.0,Oskar Blues Brewery (North Carol...,Brevard,NC
1600,389,0.08,35.0,1175,Old Chub,Scottish Ale,12.0,Oskar Blues Brewery (North Carol...,Brevard,NC
1601,389,0.065,65.0,1166,Dale's Pale Ale,American Pale Ale (APA),19.2,Oskar Blues Brewery (North Carol...,Brevard,NC
1602,389,0.065,65.0,1065,Dale's Pale Ale,American Pale Ale (APA),12.0,Oskar Blues Brewery (North Carol...,Brevard,NC
1598,389,0.099,98.0,1532,Ten Fidy,Russian Imperial Stout,12.0,Oskar Blues Brewery (North Carol...,Brevard,NC
1599,389,0.08,85.0,1328,Deviant Dale's IPA,American Double / Imperial IPA,16.0,Oskar Blues Brewery (North Carol...,Brevard,NC
1545,390,0.055,,1529,Lizzy's Red,American Amber / Red Lager,16.0,Orlison Brewing Company,Airway Heights,WA
1547,390,0.042,,1527,Brünette,Euro Dark Lager,16.0,Orlison Brewing Company,Airway Heights,WA
1548,390,0.041,,1526,Havanüther,Light Lager,16.0,Orlison Brewing Company,Airway Heights,WA
1546,390,0.067,,1528,Orlison India Pale Lager,American Pale Lager,16.0,Orlison Brewing Company,Airway Heights,WA
1544,390,0.053,,1530,Clem's Gold,American Pale Lager,16.0,Orlison Brewing Company,Airway Heights,WA
380,391,0.062,68.0,193,Lucky U IPA,American IPA,12.0,Breckenridge Brewery,Denver,CO
381,391,0.054000000000000006,19.0,83,Avalanche Ale,American Amber / Red Ale,12.0,Breckenridge Brewery,Denver,CO
378,391,0.042,9.0,1522,Agave Wheat,American Pale Wheat Ale,12.0,Breckenridge Brewery,Denver,CO
379,391,0.045,15.0,397,SummerBright Ale,American Pale Wheat Ale,12.0,Breckenridge Brewery,Denver,CO
1814,392,0.08,,305,Imperial Java Stout,Russian Imperial Stout,12.0,Santa Fe Brewing Company,Santa Fe,NM
1815,392,0.055,,304,Freestyle Pilsner,German Pilsener,12.0,Santa Fe Brewing Company,Santa Fe,NM
1816,392,0.066,,217,Happy Camper IPA,American IPA,12.0,Santa Fe Brewing Company,Santa Fe,NM
1812,392,0.045,,599,Santa Fe Irish Red Ale,Irish Red Ale,12.0,Santa Fe Brewing Company,Santa Fe,NM
1811,392,0.071,95.0,967,Black IPA,American Black Ale,12.0,Santa Fe Brewing Company,Santa Fe,NM
1810,392,0.055,30.0,1519,Saison 88,Saison / Farmhouse Ale,12.0,Santa Fe Brewing Company,Santa Fe,NM
1813,392,,,307,Santa Fe Oktoberfest,Märzen / Oktoberfest,12.0,Santa Fe Brewing Company,Santa Fe,NM
1327,393,0.071,62.0,1506,Miami Vice IPA,American IPA,12.0,Miami Brewing Company,Miami,FL
1328,393,0.053,16.0,1325,Big Rod Coconut Ale,American Blonde Ale,12.0,Miami Brewing Company,Miami,FL
1326,393,0.053,30.0,1507,Gator Tail Brown Ale,American Brown Ale,12.0,Miami Brewing Company,Miami,FL
1325,393,0.053,11.0,1508,Shark Bait,Fruit / Vegetable Beer,12.0,Miami Brewing Company,Miami,FL
1819,394,0.065,,1466,Ginger Cider,Cider,12.0,Schilling & Company,Seattle,WA
1818,394,0.065,,1503,Oak Aged Cider,Cider,12.0,Schilling & Company,Seattle,WA
1820,394,0.065,,1245,Schilling Hard Cider,Cider,12.0,Schilling & Company,Seattle,WA
1068,395,0.07,,1501,Green House India Pale Ale,American IPA,12.0,Hops & Grain Brewery,Austin,TX
1070,395,0.051,40.0,502,Alteration,Altbier,12.0,Hops & Grain Brewery,Austin,TX
1069,395,0.051,,1004,The One They Call Zoe,American Pale Lager,12.0,Hops & Grain Brewery,Austin,TX
1071,395,0.06,50.0,501,Pale Dog,American Pale Ale (APA),12.0,Hops & Grain Brewery,Austin,TX
2356,396,0.06,,1498,Super G IPA,American IPA,16.0,White Flame Brewing Company,Hudsonville,MI
1780,397,0.073,55.0,883,CAPT Black IPA,American Black Ale,16.0,Ruhstaller Beer Company,Sacramento,CA
1779,397,0.048,42.0,1370,Ruhstaller's Gilt Edge Lager Beer,American Amber / Red Lager,12.0,Ruhstaller Beer Company,Sacramento,CA
1781,397,0.056,35.0,882,1881 California Red Ale,American Amber / Red Ale,16.0,Ruhstaller Beer Company,Sacramento,CA
1778,397,0.073,55.0,1478,CAPT Black IPA,American Black Ale,12.0,Ruhstaller Beer Company,Sacramento,CA
1777,397,0.056,35.0,1479,1881 California Red,American Amber / Red Ale,12.0,Ruhstaller Beer Company,Sacramento,CA
1817,398,0.05,11.0,1477,Oval Beach Blonde Ale,American Blonde Ale,16.0,Saugatuck Brewing Company,Douglas,MI
1381,399,0.04,,644,Johnny's American IPA,American IPA,16.0,Moab Brewery,Moab,UT
1380,399,0.04,,645,Rocket Bike American Lager,California Common / Steam Beer,16.0,Moab Brewery,Moab,UT
1379,399,0.04,,902,Dead Horse Amber,American Pale Wheat Ale,16.0,Moab Brewery,Moab,UT
1378,399,0.04,,1476,Squeaky Bike Nut Brown Ale,American Brown Ale,16.0,Moab Brewery,Moab,UT
1241,400,0.05,,1475,Macon Progress Ale,American Pale Ale (APA),12.0,Macon Beer Company,Macon,GA
1242,400,0.055,,1008,Macon History Ale,American Brown Ale,12.0,Macon Beer Company,Macon,GA
95,401,0.062,43.0,837,Desolation IPA,American IPA,16.0,Amnesia Brewing Company,Washougal,WA
94,401,0.062,,1473,Damnesia,American IPA,16.0,Amnesia Brewing Company,Washougal,WA
93,401,0.054000000000000006,,1474,Dusty Trail Pale Ale,American Pale Ale (APA),16.0,Amnesia Brewing Company,Washougal,WA
2391,402,0.047,15.0,1468,Wolverine Premium Lager,American Pale Lager,12.0,Wolverine State Brewing Company,Ann Arbor,MI
1698,403,0.055,,1467,Happy Cider,Cider,16.0,Red Tank Cider Company,Bend,OR
553,404,0.069,,1464,Dry Hard Apple Cider,Cider,16.0,Cascadia Ciderworks United,Portland,OR
552,404,0.069,,1465,Granny Smith Hard Apple Cider,Cider,16.0,Cascadia Ciderworks United,Portland,OR
780,405,0.07,70.0,1451,Moirai India Pale Ale,American IPA,16.0,Fate Brewing Company,Boulder,CO
776,405,0.07,58.0,1455,Sudice American Stout,American Stout,16.0,Fate Brewing Company,Boulder,CO
778,405,0.05,20.0,1453,Norns Roggenbier,Roggenbier,16.0,Fate Brewing Company,Boulder,CO
779,405,0.05,20.0,1452,Laimas Kölsch Style Ale,Kölsch,16.0,Fate Brewing Company,Boulder,CO
777,405,0.05,20.0,1454,Parcae Belgian Style Pale Ale,Belgian Pale Ale,16.0,Fate Brewing Company,Boulder,CO
1200,406,0.05,,1445,Lazy Monk Bohemian Pilsner,Czech Pilsener,16.0,Lazy Monk Brewing,Eau Claire,WI
272,407,0.052000000000000005,,1441,Blown Out Brown,American Brown Ale,12.0,Bitter Root Brewing,Hamilton,MT
273,407,0.063,,1413,Single Hop Ale,American Pale Ale (APA),12.0,Bitter Root Brewing,Hamilton,MT
274,407,0.054000000000000006,,1411,Sawtooth Ale,American Blonde Ale,12.0,Bitter Root Brewing,Hamilton,MT
0,408,0.05,,1436,Pub Beer,American Pale Lager,12.0,10 Barrel Brewing Company,Bend,OR
2121,409,0.068,,1433,Hat Trick Hop IPA,American IPA,16.0,Tamarack Brewing Company,Lakeside,MT
2122,409,0.056,,1432,Yard Sale Amber Ale,American Amber / Red Ale,16.0,Tamarack Brewing Company,Lakeside,MT
1464,410,0.09,,568,668 Neighbor of the Beast12 oz.,Belgian Pale Ale,12.0,New England Brewing Company,Woodbridge,CT
1460,410,0.034,6.0,1417,Weiss Trash Culture,Berliner Weissbier,12.0,New England Brewing Company,Woodbridge,CT
1461,410,0.062,,885,Sea Hag IPA,American IPA,12.0,New England Brewing Company,Woodbridge,CT
1462,410,0.05,,884,Elm City Pilsner,American Pilsner,12.0,New England Brewing Company,Woodbridge,CT
1463,410,0.05,,757,Atlantic Amber Ale (2004),American Amber / Red Ale,12.0,New England Brewing Company,Woodbridge,CT
1465,410,0.08800000000000001,85.0,320,Gandhi-Bot Double IPA (12 oz.),American Double / Imperial IPA,12.0,New England Brewing Company,Woodbridge,CT
1470,410,0.062,,39,Sea Hag IPA (Current),American IPA,12.0,New England Brewing Company,Woodbridge,CT
1469,410,0.05,,40,Atlantic Amber Ale (2007),American Amber / Red Ale,12.0,New England Brewing Company,Woodbridge,CT
1466,410,0.09,,43,668 Neighbor of the Beast (16 oz.) (2010),Belgian Pale Ale,16.0,New England Brewing Company,Woodbridge,CT
1468,410,0.05,,41,Elm City Lager (2007),American Pilsner,12.0,New England Brewing Company,Woodbridge,CT
1467,410,0.08800000000000001,85.0,42,Gandhi-Bot Double IPA (16 oz.) (2010),American Double / Imperial IPA,16.0,New England Brewing Company,Woodbridge,CT
1830,411,0.065,,1415,Dry Hard Cider,Cider,16.0,Seattle Cider Company,Seattle,WA
1829,411,0.065,,1416,Dry Cider,Cider,16.0,Seattle Cider Company,Seattle,WA
2023,412,0.07200000000000001,70.0,637,Monkeynaut IPA,American IPA,12.0,Straight to Ale,Huntsville,AL
2022,412,0.05,30.0,925,Lily Flagg Milk Stout,Milk / Sweet Stout,12.0,Straight to Ale,Huntsville,AL
2021,412,0.051,25.0,1410,Sand Island Lighthouse,Kölsch,12.0,Straight to Ale,Huntsville,AL
